case_id,state,land_category,location_type,tenure_type,land_area_m2,acquisition_area_m2,building_age_years,market_value_myr,statutory_disturbance_myr,relocation_allowance_myr,recommended_compensation_myr
CASE-2026-TR-00001,Pahang,Building,Rural,Freehold,1788,1005,23,2611000,391600,8000,3010600
CASE-2026-TR-00002,Johor,Building,Rural,Leasehold,2583,974,21,2646000,396900,8000,3050900
CASE-2026-TR-00003,Johor,Agriculture,Rural,Leasehold,5005,1700,2,931000,139600,8000,1078600
CASE-2026-TR-00004,Wilayah Persekutuan Kuala Lumpur,Agriculture,Suburban,Freehold,4612,1667,27,1366000,204900,8000,1578900
CASE-2026-TR-00005,Wilayah Persekutuan Kuala Lumpur,Building,Urban,Freehold,1171,719,4,4034000,605100,8000,4647100
CASE-2026-TR-00006,Wilayah Persekutuan Kuala Lumpur,Agriculture,Urban,Freehold,3016,2632,20,2353000,353000,8000,2714000
CASE-2026-TR-00007,Melaka,Agriculture,Suburban,Leasehold,18448,3891,8,2352000,352800,8000,2712800
CASE-2026-TR-00008,Selangor,Agriculture,Urban,Leasehold,8184,6878,8,5189000,778400,8000,5975400
CASE-2026-TR-00009,Negeri Sembilan,Building,Suburban,Malay Reserve,1720,998,37,2456000,368400,8000,2832400
CASE-2026-TR-00010,Melaka,Building,Urban,Freehold,2031,543,13,2233000,335000,8000,2576000
CASE-2026-TR-00011,Selangor,Building,Urban,Malay Reserve,1828,1423,36,5191000,778600,8000,5977600
CASE-2026-TR-00012,Sarawak,Agriculture,Urban,Leasehold,15931,5266,29,3014000,452100,8000,3474100
CASE-2026-TR-00013,Wilayah Persekutuan Kuala Lumpur,Building,Urban,Freehold,2830,2327,3,10786000,1617900,8000,12411900
CASE-2026-TR-00014,Johor,Industry,Urban,Freehold,18879,14010,12,37306000,5595900,8000,42909900
CASE-2026-TR-00015,Johor,Building,Suburban,Malay Reserve,1739,474,32,1299000,194800,8000,1501800
CASE-2026-TR-00016,Wilayah Persekutuan Labuan,Building,Urban,Leasehold,352,179,17,623000,93400,8000,724400
CASE-2026-TR-00017,Pulau Pinang,Building,Urban,Freehold,1297,785,16,3281000,492200,8000,3781200
CASE-2026-TR-00018,Selangor,Building,Urban,Leasehold,1813,1110,1,4939000,740800,8000,5687800
CASE-2026-TR-00019,Selangor,Agriculture,Urban,Malay Reserve,11208,6294,1,5595000,839200,8000,6442200
CASE-2026-TR-00020,Kedah,Building,Urban,Freehold,2405,2111,24,6689000,1003400,8000,7700400
CASE-2026-TR-00021,Pulau Pinang,Industry,Urban,Freehold,3200,811,18,2717000,407600,8000,3132600
CASE-2026-TR-00022,Kedah,Building,Urban,Freehold,1368,971,33,2689000,403400,8000,3100400
CASE-2026-TR-00023,Pulau Pinang,Building,Rural,Freehold,1949,1348,34,3832000,574800,8000,4414800
CASE-2026-TR-00024,Kelantan,Building,Suburban,Malay Reserve,1365,957,17,2234000,335100,8000,2577100
CASE-2026-TR-00025,Selangor,Agriculture,Rural,Malay Reserve,2301,2017,34,863000,129400,8000,1000400
CASE-2026-TR-00026,Melaka,Agriculture,Suburban,Freehold,2569,2186,23,1092000,163800,8000,1263800
CASE-2026-TR-00027,Melaka,Building,Urban,Freehold,395,198,29,628000,94200,8000,730200
CASE-2026-TR-00028,Johor,Building,Urban,Freehold,169,119,16,463000,69400,8000,540400
CASE-2026-TR-00029,Perak,Agriculture,Suburban,Leasehold,18958,16821,21,6250000,937500,8000,7195500
CASE-2026-TR-00030,Pulau Pinang,Agriculture,Suburban,Freehold,18388,9563,5,7561000,1134200,8000,8703200
CASE-2026-TR-00031,Selangor,Building,Rural,Freehold,1843,513,19,1724000,258600,8000,1990600
CASE-2026-TR-00032,Pahang,Agriculture,Urban,Leasehold,15407,9004,24,5079000,761800,8000,5848800
CASE-2026-TR-00033,Perak,Agriculture,Urban,Freehold,15284,4342,28,2632000,394800,8000,3034800
CASE-2026-TR-00034,Johor,Building,Suburban,Freehold,1462,841,37,2530000,379500,8000,2917500
CASE-2026-TR-00035,Pahang,Building,Suburban,Leasehold,2966,1861,4,6188000,928200,8000,7124200
CASE-2026-TR-00036,Selangor,Agriculture,Suburban,Leasehold,7052,4103,36,2836000,425400,8000,3269400
CASE-2026-TR-00037,Melaka,Agriculture,Urban,Freehold,4082,1778,25,1211000,181600,8000,1400600
CASE-2026-TR-00038,Selangor,Building,Suburban,Freehold,878,713,36,2237000,335600,8000,2580600
CASE-2026-TR-00039,Selangor,Industry,Urban,Leasehold,13043,7177,13,20924000,3138600,8000,24070600
CASE-2026-TR-00040,Pulau Pinang,Agriculture,Urban,Malay Reserve,9186,4339,11,3482000,522300,8000,4012300
CASE-2026-TR-00041,Selangor,Building,Suburban,Leasehold,293,165,35,563000,84400,8000,655400
CASE-2026-TR-00042,Wilayah Persekutuan Kuala Lumpur,Industry,Rural,Freehold,5729,3202,23,8405000,1260800,8000,9673800
CASE-2026-TR-00043,Selangor,Agriculture,Suburban,Malay Reserve,19924,11144,37,7078000,1061700,8000,8147700
CASE-2026-TR-00044,Wilayah Persekutuan Kuala Lumpur,Building,Rural,Freehold,1960,1556,39,4530000,679500,8000,5217500
CASE-2026-TR-00045,Johor,Agriculture,Suburban,Leasehold,15116,11729,38,6291000,943600,8000,7242600
CASE-2026-TR-00046,Melaka,Agriculture,Rural,Leasehold,18517,14100,31,5425000,813800,8000,6246800
CASE-2026-TR-00047,Selangor,Agriculture,Urban,Leasehold,7645,3104,0,2923000,438400,8000,3369400
CASE-2026-TR-00048,Sarawak,Agriculture,Urban,Freehold,5719,2558,27,1651000,247600,8000,1906600
CASE-2026-TR-00049,Selangor,Agriculture,Suburban,Malay Reserve,3581,907,5,729000,109400,8000,846400
