case_id,state,land_category,location_type,tenure_type,land_area_m2,acquisition_area_m2,building_age_years,market_value_myr,statutory_disturbance_myr,relocation_allowance_myr,recommended_compensation_myr
CASE-2026-NW-00001,Pulau Pinang,Building,Urban,Freehold,2080,526,35,2194000,329100,8000,2531100
CASE-2026-NW-00002,Johor,Building,Suburban,Freehold,1681,547,23,1980000,297000,8000,2285000
CASE-2026-NW-00003,Selangor,Industry,Suburban,Freehold,11557,4308,8,13798000,2069700,8000,15875700
CASE-2026-NW-00004,Pulau Pinang,Agriculture,Suburban,Freehold,4992,2412,38,1687000,253000,8000,1948000
CASE-2026-NW-00005,Pulau Pinang,Agriculture,Rural,Freehold,8212,1759,27,1101000,165200,8000,1274200
CASE-2026-NW-00006,Johor,Industry,Urban,Leasehold,12444,4662,6,14192000,2128800,8000,16328800
CASE-2026-NW-00007,Johor,Agriculture,Urban,Malay Reserve,16438,14177,0,8491000,1273600,8000,9772600
CASE-2026-NW-00008,Selangor,Building,Rural,Leasehold,1963,1709,7,5080000,762000,8000,5850000
CASE-2026-NW-00009,Pulau Pinang,Building,Urban,Malay Reserve,589,344,38,1135000,170200,8000,1313200
CASE-2026-NW-00010,Johor,Industry,Urban,Leasehold,13761,7891,13,21175000,3176200,8000,24359200
CASE-2026-NW-00011,Selangor,Building,Suburban,Freehold,2008,583,27,2335000,350200,8000,2693200
CASE-2026-NW-00012,Selangor,Building,Urban,Freehold,2920,1161,3,5810000,871500,8000,6689500
CASE-2026-NW-00013,Perak,Building,Suburban,Leasehold,1575,936,18,2651000,397600,8000,3056600
CASE-2026-NW-00014,Pahang,Building,Suburban,Leasehold,237,65,18,192000,28800,8000,228800
CASE-2026-NW-00015,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Leasehold,2958,1240,17,4888000,733200,8000,5629200
CASE-2026-NW-00016,Perak,Building,Suburban,Freehold,1995,1829,4,4898000,734700,8000,5640700
CASE-2026-NW-00017,Perak,Building,Suburban,Leasehold,2802,2210,5,5840000,876000,8000,6724000
CASE-2026-NW-00018,Kelantan,Building,Rural,Freehold,1572,965,23,1985000,297800,8000,2290800
CASE-2026-NW-00019,Pahang,Agriculture,Suburban,Leasehold,2324,2019,23,901000,135200,8000,1044200
CASE-2026-NW-00020,Selangor,Industry,Rural,Leasehold,23660,11380,11,29540000,4431000,8000,33979000
CASE-2026-NW-00021,Perak,Building,Suburban,Freehold,1763,1485,26,3899000,584800,8000,4491800
CASE-2026-NW-00022,Wilayah Persekutuan Kuala Lumpur,Agriculture,Rural,Leasehold,19044,6647,37,4373000,656000,8000,5037000
CASE-2026-NW-00023,Negeri Sembilan,Building,Urban,Leasehold,2633,1574,31,4932000,739800,8000,5679800
CASE-2026-NW-00024,Perlis,Agriculture,Rural,Freehold,19842,15658,16,6128000,919200,8000,7055200
CASE-2026-NW-00025,Selangor,Agriculture,Urban,Leasehold,5666,4064,13,3426000,513900,8000,3947900
CASE-2026-NW-00026,Terengganu,Building,Rural,Freehold,2198,928,2,2580000,387000,8000,2975000
CASE-2026-NW-00027,Selangor,Building,Urban,Leasehold,2233,1379,15,6257000,938600,8000,7203600
CASE-2026-NW-00028,Terengganu,Agriculture,Rural,Leasehold,12898,7903,32,2906000,435900,8000,3349900
CASE-2026-NW-00029,Johor,Industry,Urban,Malay Reserve,19411,6354,39,15463000,2319400,8000,17790400
CASE-2026-NW-00030,Selangor,Agriculture,Rural,Freehold,19760,9783,18,6236000,935400,8000,7179400
CASE-2026-NW-00031,Selangor,Agriculture,Suburban,Freehold,14801,6211,30,4636000,695400,8000,5339400
CASE-2026-NW-00032,Kelantan,Building,Urban,Freehold,2141,989,27,2675000,401200,8000,3084200
CASE-2026-NW-00033,Melaka,Agriculture,Suburban,Freehold,13943,12465,0,6824000,1023600,8000,7855600
CASE-2026-NW-00034,Kelantan,Building,Urban,Malay Reserve,1625,672,33,1677000,251600,8000,1936600
CASE-2026-NW-00035,Pulau Pinang,Agriculture,Suburban,Malay Reserve,9163,2271,5,1592000,238800,8000,1838800
CASE-2026-NW-00036,Kelantan,Agriculture,Urban,Freehold,14210,5032,5,2977000,446600,8000,3431600
CASE-2026-NW-00037,Wilayah Persekutuan Putrajaya,Agriculture,Urban,Leasehold,13643,9456,11,7441000,1116200,8000,8565200
CASE-2026-NW-00038,Kedah,Building,Urban,Malay Reserve,1207,531,7,1591000,238600,8000,1837600
CASE-2026-NW-00039,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Freehold,2619,2119,23,8229000,1234400,8000,9471400
CASE-2026-NW-00040,Pulau Pinang,Building,Urban,Freehold,952,281,33,1212000,181800,8000,1401800
CASE-2026-NW-00041,Perak,Agriculture,Suburban,Leasehold,10792,6450,23,3056000,458400,8000,3522400
CASE-2026-NW-00042,Pulau Pinang,Building,Suburban,Freehold,1183,538,28,1963000,294400,8000,2265400
CASE-2026-NW-00043,Kedah,Agriculture,Suburban,Leasehold,14224,10297,8,4470000,670500,8000,5148500
CASE-2026-NW-00044,Johor,Agriculture,Suburban,Freehold,16182,8390,38,5007000,751000,8000,5766000
CASE-2026-NW-00045,Pulau Pinang,Building,Suburban,Freehold,233,62,12,273000,41000,8000,322000
CASE-2026-NW-00046,Kedah,Agriculture,Urban,Freehold,19725,5346,2,3491000,523600,8000,4022600
CASE-2026-NW-00047,Selangor,Building,Suburban,Freehold,477,417,4,1518000,227700,8000,1753700
CASE-2026-NW-00048,Pulau Pinang,Agriculture,Urban,Freehold,8502,2898,35,2407000,361000,8000,2776000
CASE-2026-NW-00049,Johor,Building,Urban,Freehold,674,330,21,1231000,184600,8000,1423600
CASE-2026-NW-00050,Pulau Pinang,Agriculture,Suburban,Freehold,6351,4249,25,2873000,431000,8000,3312000
CASE-2026-NW-00051,Perak,Industry,Urban,Freehold,7523,5504,36,10297000,1544600,8000,11849600
CASE-2026-NW-00052,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Leasehold,1785,645,24,2681000,402200,8000,3091200
CASE-2026-NW-00053,Negeri Sembilan,Industry,Suburban,Leasehold,4439,1535,18,3156000,473400,8000,3637400
CASE-2026-NW-00054,Selangor,Building,Suburban,Freehold,556,438,30,1432000,214800,8000,1654800
CASE-2026-NW-00055,Johor,Agriculture,Urban,Malay Reserve,3015,1874,30,1137000,170600,8000,1315600
CASE-2026-NW-00056,Johor,Building,Suburban,Freehold,562,295,10,1032000,154800,8000,1194800
CASE-2026-NW-00057,Johor,Agriculture,Suburban,Leasehold,11099,4626,23,2663000,399400,8000,3070400
CASE-2026-NW-00058,Selangor,Building,Urban,Freehold,250,190,14,873000,131000,8000,1012000
CASE-2026-NW-00059,Pahang,Building,Rural,Malay Reserve,1497,1181,24,2476000,371400,8000,2855400
CASE-2026-NW-00060,Johor,Building,Urban,Freehold,2762,1475,18,5373000,806000,8000,6187000
CASE-2026-NW-00061,Kedah,Building,Urban,Leasehold,2373,1233,26,3405000,510800,8000,3923800
CASE-2026-NW-00062,Sarawak,Industry,Suburban,Leasehold,13340,10805,16,23681000,3552200,8000,27241200
CASE-2026-NW-00063,Johor,Agriculture,Suburban,Freehold,17639,14001,36,8215000,1232200,8000,9455200
