case_id,state,land_category,location_type,tenure_type,land_area_m2,acquisition_area_m2,building_age_years,market_value_myr,statutory_disturbance_myr,relocation_allowance_myr,recommended_compensation_myr
CASE-2026-NW-00001,Pulau Pinang,Building,Urban,Freehold,2080,526,35,2219000,332800,8000,2559800
CASE-2026-NW-00002,Johor,Building,Suburban,Freehold,1681,547,23,1916000,287400,8000,2211400
CASE-2026-NW-00003,Selangor,Industry,Suburban,Freehold,11557,4308,8,13770000,2065500,8000,15843500
CASE-2026-NW-00004,Pulau Pinang,Agriculture,Suburban,Freehold,4992,2412,38,1680000,252000,8000,1940000
CASE-2026-NW-00005,Pulau Pinang,Agriculture,Rural,Freehold,8212,1759,27,1080000,162000,8000,1250000
CASE-2026-NW-00006,Johor,Industry,Urban,Leasehold,12444,4662,6,13726000,2058900,8000,15792900
CASE-2026-NW-00007,Johor,Agriculture,Urban,Malay Reserve,16438,14177,0,8777000,1316600,8000,10101600
CASE-2026-NW-00008,Selangor,Building,Rural,Leasehold,1963,1709,7,4928000,739200,8000,5675200
CASE-2026-NW-00009,Pulau Pinang,Building,Urban,Malay Reserve,589,344,38,1087000,163000,8000,1258000
CASE-2026-NW-00010,Johor,Industry,Urban,Leasehold,13761,7891,13,21166000,3174900,8000,24348900
CASE-2026-NW-00011,Selangor,Building,Suburban,Freehold,2008,583,27,2254000,338100,8000,2600100
CASE-2026-NW-00012,Selangor,Building,Urban,Freehold,2920,1161,3,6127000,919000,8000,7054000
CASE-2026-NW-00013,Perak,Building,Suburban,Leasehold,1575,936,18,2778000,416700,8000,3202700
CASE-2026-NW-00014,Pahang,Building,Suburban,Leasehold,237,65,18,193000,29000,8000,230000
CASE-2026-NW-00015,Wilayah Persekutuan Kuala Lumpur,Building,Suburban,Leasehold,2958,1240,17,4731000,709600,8000,5448600
CASE-2026-NW-00016,Perak,Building,Suburban,Freehold,1995,1829,4,4720000,708000,8000,5436000
CASE-2026-NW-00017,Perak,Building,Suburban,Leasehold,2802,2210,5,5351000,802600,8000,6161600
CASE-2026-NW-00018,Kelantan,Building,Rural,Freehold,1572,965,23,1898000,284700,8000,2190700
CASE-2026-NW-00019,Pahang,Agriculture,Suburban,Leasehold,2324,2019,23,892000,133800,8000,1033800
CASE-2026-NW-00020,Selangor,Industry,Rural,Leasehold,23660,11380,11,28308000,4246200,8000,32562200
CASE-2026-NW-00021,Perak,Building,Suburban,Freehold,1763,1485,26,3830000,574500,8000,4412500
